date,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
2021-12-31,FY,3.154293825408091,2.93527324343506,0.7854743316773125,43.4518651052752,0.0,43.4518651052752,65.79959380105082,-22.347728695775615,0.8079437627725157,0.39645040660058173,0.40095311585784665,0.3338449405998525,0.16737162676592504,0.23718724960388465,0.31526517669103693,0.3227639245574794,0.8326283732340749,1.0113575599426774,0.39645040660058173,0.24765794911649708,0.3291826488040423,0.092613987284287,0.09998414437269372,101.41648590021693,4.157932674980177,1.3291826488040424,8.400099722202436,5.547146705853539,,1.6855668629580927,0.7104713019694313,20.491296625222024,13.895559502664298,17.050799289520427,0.0,0.4891332920655649,0.6781200700379661,4.157932674980177,51.182786157941436,-3.1067485323423276,,,6.801092466087172,6.801092466087172,7.20190645280211,21.572609247459994,21.712691125690256,14.723811626865801,14.723811626865801,0.5848065424643002,7.20190645280211,,15.195750037200245,6.801092466087172
2020-12-31,FY,5.051064681930446,4.892130031373073,1.1732194112542553,48.127435584249405,0.0,48.127435584249405,29.104660915408576,19.022774668840828,0.8058279532367824,0.3800500203571221,0.38597103472343397,0.3390449601582039,0.12157926461723931,0.18294458811418815,0.22718840127835374,0.22635535386427408,0.8784207353827607,1.015579565975942,0.3800500203571221,0.19474503502473073,0.24184270013251227,0.06982983012014124,0.07667837402118839,48.617559523809526,3.636850009386146,1.2418427001325123,7.584031760035289,12.540946656649137,,1.5635401320456157,0.539587988651485,13.5906699403718,8.289021396001402,21.73062083479481,0.0,0.4507299482347467,0.6099052829896509,3.636850009386146,37.87585532746823,-2.5634799867681113,,,5.740890106762802,5.740890106762802,8.567426182709243,25.269292245817606,31.165317865462086,19.007892012197072,19.007892012197072,0.43782089238742805,8.567426182709243,,17.919555725219826,5.740890106762802
2019-12-31,FY,4.399455258088088,4.2764233043247195,1.2674549923603269,49.1402746934099,0.0,49.1402746934099,38.958104933437745,10.182169759972155,0.8193699874110641,0.3392788944368219,0.350962558524407,0.2614679547929898,0.2549975818152507,0.13859315019193857,0.18292200209788825,0.20271629353549184,0.7450024181847493,1.034436754773618,0.3392788944368219,0.2423374520153551,0.3198487937142518,0.08612924813253993,0.09494424790649769,1199.3,3.4255258937836053,1.3198487937142518,7.427715906703089,9.369038884812912,,1.5786570796954202,0.5300578814779271,12.723896285914506,7.432375613174492,19.220392431674842,0.0,0.5136568737004399,0.5841273338106515,3.4255258937836053,33.71773444753946,-2.4045821745464178,,,5.917614508828942,5.917614508828942,8.458613754122522,32.350479663251285,28.191524447256267,16.467440011433606,16.467440011433606,-2.1152236702895073,8.458613754122522,,19.282393503261044,5.917614508828942
2018-12-31,FY,7.193957531708707,6.94043038335471,1.4278181559070828,49.59445180701315,0.0,49.59445180701315,31.993586317477284,17.600865489535867,0.8324617643898421,0.4461656936136681,0.4541889036140263,0.39600272216053584,0.12811009029612397,0.2271765261881768,0.2628407051243953,0.27583954294318896,0.871889909703876,1.0179825793762294,0.4461656936136681,0.1356874267984466,0.15698883830399277,,,2768.1111111111113,,1.1569888383039928,7.3596942137867405,11.408536585365853,,2.2622047563100107,0.5736741529167608,10.129411764705882,5.314532871972318,14.226297577854671,0.0,0.5242666284609048,0.5246635239461638,,58.548,-2.1037729069349624,,,5.167351680174023,5.167351680174023,7.785268003832515,19.659632543324893,28.30352202604336,14.849825606271779,14.849825606271779,0.49968232714284105,7.785268003832515,,14.32355717695806,5.167351680174023
2017-12-31,FY,12.915691489361702,12.644414893617022,2.1486702127659574,52.36218729245074,0.0,52.36218729245074,25.43087642097543,26.93131087147531,0.8658401593978304,0.4969620938184144,0.5065800801908839,0.39195139350109465,0.22627949888316987,0.18851450475604561,0.21431934039033182,0.2501485810509633,0.7737205011168301,1.0193535613522744,0.4969620938184144,0.12040367232975249,0.13688514667706833,,,3367.1666666666665,,1.1368851466770684,6.970679012345679,14.352631578947369,,2.9628306974710297,0.4809639865600303,8.34746639089969,6.0265425715270595,14.378145467080317,0.0,0.5956755958969818,0.7219606871489924,,,-3.5966136937472153,,,7.301372022880547,7.301372022880547,13.352891687823778,34.06772347088616,31.04931108992164,22.416381969982655,22.416381969982655,0.6283994588412161,13.352891687823778,,22.635179080850794,7.301372022880547
2016-12-31,FY,11.965565217391305,11.632,3.096695652173913,52.733374339677255,0.0,52.733374339677255,29.092108735814197,23.641265603863058,0.8629061437151747,0.4496345611115131,0.45292712931471163,0.36967219046240685,0.18381530595941845,0.15727898277427996,0.17260195290063182,0.2001578455690494,0.8161846940405816,1.0073227649472922,0.4496345611115131,0.08877634272871415,0.0974254147379802,,,1242.7,,1.0974254147379803,6.921612822439268,12.54635761589404,,3.217087649866139,0.42545527316389836,5.626266154383514,4.05763185469787,10.28606356968215,0.0,0.5828207540343006,0.7211944375465608,,,-3.586729013582721,,,6.335029355831672,6.335029355831672,13.568120981586944,36.70311516972692,32.279911137909956,23.28009235715793,23.28009235715793,0.21369369276596564,13.568120981586944,,24.619551290457295,6.335029355831672
2015-12-31,FY,11.247792207792207,10.905454545454546,2.5490909090909093,52.099230254350736,0.0,52.099230254350736,24.95291245204046,27.146317802310275,0.8400825524319501,0.3472222222222222,0.34549308344489066,0.20571173583221777,0.4045850823377462,0.07464529317708017,0.08340494821113574,0.1311023124552462,0.5954149176622537,0.9950200803212852,0.3472222222222222,0.10502560365940049,0.11735040028947487,0.002413987591652566,0.007073406238070644,270.6521739130435,27.298412698412697,1.117350400289475,7.0058616647127785,14.627551020408163,,3.1524529628978373,0.36286356184346347,3.0677845165893687,2.16767748840528,6.576525151623261,0.0,0.47964078536367694,0.7065937899755785,27.298412698412697,41.34134615384615,-3.4082441537851764,,,7.1130450829368135,7.1130450829368135,17.543765477314814,85.28325040056943,51.76508022997037,36.57688422808466,36.57688422808466,5.027223181507253,17.543765477314814,,37.97263262402597,7.1130450829368135
2014-12-31,FY,9.599719101123595,9.042837078651685,3.030196629213483,49.131236964543554,0.0,49.131236964543554,29.83743613562471,19.293800828918844,0.8272902294240334,0.40060965827049577,0.393871330017648,0.2358414888496711,0.40122199592668023,0.07316344813856261,0.08144946808510638,0.12884416924664602,0.5987780040733197,0.9831798157789348,0.40060965827049577,0.10173203264981087,0.11325354609929078,0.003285931243959685,0.006413608962536816,217.1304347826087,23.4206008583691,1.1132535460992907,7.4290822407628125,12.232954545454545,,3.1424250063019916,0.31022297431813656,2.0876052027543994,1.3871461361897475,4.284238714613619,0.0,0.4377506818546446,0.664467656221367,23.4206008583691,47.86842105263158,-2.9803386127799016,,,5.49725037876219,5.49725037876219,15.917595834413607,67.49277199721088,54.72386918692775,36.36224109800256,36.36224109800256,0.8369103727654148,15.917595834413607,,31.46806179919042,5.49725037876219
2013-12-31,FY,11.881818181818181,11.462727272727273,3.020909090909091,53.78556910569105,0.0,53.78556910569105,16.936,36.84956910569105,0.7618140243902439,0.3561991869918699,0.34984756097560976,0.19054878048780488,0.4553376906318083,0.08382229673093043,0.09696186166774402,0.16695445072938375,0.5446623093681917,0.9821683309557775,0.3561991869918699,0.13551271304833754,0.15675500969618616,0.015088813904628509,0.029850746268656716,50.07142857142857,8.869747899159664,1.1567550096961863,6.786206896551724,21.551724137931036,,2.7314365024288687,0.4398994132439229,1.7446280991735537,1.1818181818181819,4.73099173553719,0.0,0.5363313008130082,0.6774040738986262,8.869747899159664,17.665271966527197,-3.0998531571218795,,,9.554854838784745,9.554854838784745,18.77713469969512,98.54240290399999,51.68307844615384,35.0103278910469,35.0103278910469,0.03284746763466666,18.77713469969512,,37.93944107720492,9.554854838784745
2012-12-31,FY,10.710076045627376,10.262357414448669,2.2661596958174903,83.91629003733543,0.0,83.91629003733543,17.393695014662757,66.52259502267268,0.7319709176655531,0.10571821575948123,0.0970721163293378,0.010414619768127334,0.8927125506072875,0.0035092365755147984,0.004508719693747341,0.038289089744502174,0.10728744939271255,0.9182156133828996,0.10571821575948123,0.22167781235516124,0.28481497235219055,0.14484213589407827,0.1669619445822408,10.549019607843137,0.6842105263157895,1.2848149723521907,4.349572649572649,20.984615384615385,,2.1283981597657884,0.3369529232602794,0.8035892323030908,0.18793619142572282,4.798604187437687,0.0,0.31676164275889174,0.23387096774193547,0.6842105263157895,4.416438356164384,-1.305263157894737,,,5.331130548600595,5.331130548600595,12.314293495539397,1182.4045207320755,166.22663023554378,38.87558287766749,38.87558287766749,-12.327196067206746,12.314293495539397,,52.46184221005026,5.331130548600595
